"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1447708861.20673","1615844601.64351","1749884030.61462","1922269464.26791","2124386768.13186","2224178895.7504","2291759847.27755","2497125591.58529","2575533498.67338","2645065705.20619","2910162905.13092","2885630124.8218","2835314410.0219","2945022088.35996","3263578403.08735","3406102722.27756","3546046052.97751","3706854417.83276","3775529799.68399","3404108436.82609","3316870714.41778","3502845774.57458","3442855767.49202","3799467166.166","3816822068.4595","3893070716.59654","3941353654.93151","4098239741.2414","","","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","564690922739.846","584700556482.602","587071462519.996","600196182038.975","624765588033.263","666404452709.676","716011664067.842","755696780234.212","778396719508.304","811946782395.146","858966344642.005","910136166082.517","960794982388.77","1010630021991.96","1096395768006.1","1200986611292.9","1319765515544.02","1446593266183.06","1542464545929.01","1567809275547.04","1666859676802.28","1769027422568.03","1771196498129.79","1891955298647.72","2022762543463.75","2094683513531.62","2208685881569.64","2316062182558.98","2434969018573.99","2532314669520.6","2490298957244.28",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19821201272.7123","21972474901.6777","22883102406.9713","26245649893.4599","28488533288.0223","33298540656.4323","35278625599.7927","43151385722.0354","49924017476.7623","51184181904.4289","59667003515.1962","65039839448.5561","69058343420.1602","71831696727.8086","70097956089.2877","74711922906.3738","77415569869.8162","81879802965.493","80888209178.1686",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","354456408577.7","370890369529.033","389036417451.311","393919365609.97","401627746223.134","418672566907.893","446298548530.585","473915275751.451","496488116247.748","511414281849.759","541750598091.303","582655968781.564","647923733580.242","696337444272.312","771998251877.484","842562264427.163","914387072648.355","989827353216.014","1071863198168.59","1145712437539.72","1238217046078.27","1324190379112.28","1396676545559.9","1526772041499.13","1645121615924.78","1662297007354.66","1678673573433.82","1744086797034.34","1841810559633.82","1937450957362.24","1945572098201.69",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38853486198.221","40565621895.643","39067768926.4374","30401925867.0135","31467023358.86","36945883949.3297","42718061571.3044","46644927780.4344","49382736263.9042","51188559061.9269","53931438611.886","57432494669.7672","66313630684.0612","69564636251.1885","79261910487.6944","94014137040.1714","108044190442.528","126490191862.26","143349394242.913","145682561883.685","153870650179.651","162538809184.169","186124220333.292","199865635605.063","220364785384.766","204603585194.557","204874680466.819","217987314775.762","218748623735.012","221262824980.767","211758438788.596",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8371542601.88883","6231161359.14026","5915117577.66947","6634179489.25785","7338436895.13184","8490468026.7095","9432704964.7961","8552908517.12931","9451061855.66167","10792617671.4779","11931318767.641","13162980036.8828","14221908089.84","15182663767.8118","16415710695.8751","17663323063.1149","19624526468.2406","21605467352.5198","24251463891.67","25819250636.9638","28070173655.2787","29655454508.2483","30530546535.8265","30603933124.2812","32529287760.4164","33585741674.1855","34739848022.6598","36696836021.0158","38853437026.1044","40919888534.2289","39444440356.1366",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1494883353741.97","1662804563612.88","1785559772830.05","1880233551029.53","1975352378653.88","2070832004399.05","2204916451573.47","2338999314689.46","2496725672070.96","2584160625386.6","2819425550907.44","2928073812923.92","2983962010627.23","3165552124850.31","3551442007164.06","3859922619619.92","4205607582686.62","4506484031822.02","4857641478179.05","4921172192555.24","5214193845367.59","5502237667909.7","5967460716210.45","6082104378104.93","6093793436928.04","5587035432472.02","5512496479035.89","5832469433891.55","6127304340116.2","6370406419489","6134762244171.05",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","159388692522.004","166196071082.632","175669385879.081","182101388798.475","198816173440.518","216560567676.245","233312694507.866","256935657832.501","260586202744.866","272020515374.322","308282993713.608","319452697780.723","332402388003.388","368371884545.888","414478037263.2","448139118339.611","507119701866.802","537324819731.677","565260624034.398","539707783886.877","554748240651.425","605575063616.23","631707057954.974","647295742436.972","678339276123.81","601179365119.067","598811161712.48","637384703409.743","660454237011.066","695178221906.912","660150918225.271",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234564125672.49","264644000848.374","292159264258.284","323630227657.508","349832146514.708","347005607350.473","372888233736.503","410342067258.763","430937274294.631","422359326228.804","428394155078.285","418489172661.132","378795278976.384","419925810757.286","470169433019.259","527729109507.491","587451576462.842","657569211584.856","697557858459.69","661275816702.498","736718360687.747","797263881242.037","819697901873.041","849616000404.317","839896688260.086","867176759338.262","885227528869.049","1039330591568.54","1036428172096.8","1033557797795.68","942157352605.543",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9808409249.40877","8953713983.52319","5329816706.49745","4976010199.69282","5356711773.86583","5846400147.93725","6302639313.86128","6628399563.03319","7192322810.54708","7536939292.96301","8160045754.95071","9139577172.24627","10509650580.8786","12203500269.3471","13847909043.5482","16264081042.8076","18968092453.3076","22146063400.512","24134635012.4078","20889699218.1128","21598045116.0039","23085520248.3701","27009096448.5442","28500152360.1441","29231468082.419","29166842740.5397","31429192104.4042","35676528915.4363","38432837649.8584","42091960116.6691","39432218901.7211",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724556100.718993","765362715.241753","791873242.80906","853444312.345216","929867748.187428","907977704.783545","985667483.481136","1058189112.69129","1120726980.9667","1179060284.10002","1280195144.17377","1248774864.26956","1281560907.27004","1384681527.42647","1503964936.73947","1651209567.74817","1917366845.05439","2152280699.07979","2193830738.54859","1946113356.08119","1814425571.79809","1816047262.12083","1771798543.10742","1720170788.92087","1762288334.80494","1769549897.41954","1882863521.88954","1893259104.10693","2072170136.49086","2211713927.44631","1785724441.09226",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296274896211.624","307942231306.159","318559331602.123","338376013296.831","358657170483.946","378001548595.775","402867894849.952","425236524089.68","452850880566.023","478757083927.676","504563952136.262","532395090163.897","565345793833.1","592728986265.108","631877119168.148","665959595377.554","711136245629.455","761905795954.278","796834909433.138","874415971729.39","866973301232.527","938351559046.28","973825980527.428","1061730067174.66","1100561174645.73","1101456818288.23","1143148737101.39","1190694343959.24","1251638281558.27","1319796045551.36","1345933829389.82",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149145342999.59","159495763417.647","166545749212.916","171389781662.458","179254572750.228","187895841068.847","194997724645.825","202530464280.463","212772428725.153","220639956878.73","235450130397.497","238981890375.598","251984858807.042","260788024528.616","275769919640.967","288086851811.747","310998506693.173","326699481036.73","343812802543","341644243759.125","351609937876.39","373031463577.163","391635006784.26","406370494341.228","417059741085.658","430975998137.236","460282766423.271","476590426691.819","504436052241.356","520730036010.569","496232422511.22",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37712019363.7038","38714438414.7562","30647850232.2514","24126843347.9232","19787568927.4367","17818600294.7837","18380736134.2346","19794560262.4464","22019087516.4113","23989937776.8964","27248637737.3468","30603101610.0069","34021462133.6036","38190783153.5147","42848204693.8545","56537120408.6161","78343626403.3192","100560193394.951","113545919485.911","125047649105.337","132891923102.797","135803575412.212","148339507564.977","161864879226.656","166328757240.292","144145726475.687","140229738154.492","139152809949.428","144631250275.617","150893465695.113","146090996145.667",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3343218160.13726","3628982376.7027","3749171575.05258","3598545997.92306","3534622757.6616","3322928056.98163","3113068217.85374","3118352162.52856","3303238719.97174","3317086594.10514","3362180905.95967","3506563882.74682","3720415742.34283","3743134142.91074","4029708575.80255","4192628759.83366","4553356025.89181","4837073839.93406","5170900206.2792","5408976901.06728","5752399507.71457","6109378663.94635","6386094258.45455","7069203706.21655","7649427870.69596","8551152238.70251","8358351140.30498","8375481076.5592","8714651910.38732","9033653418.07496","9166318545.41995",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185820789376.227","195626299253.053","203147044167.315","205959896251.348","217146039918.875","226986232383.393","230441758603.372","241539960530.414","248626123165.287","260168701709.78","284950368057.724","296258534660.922","312900377877.018","320632918897.717","333856768305.508","347658412088.972","371414945627.342","390457830941.967","405729462246.522","407862655447.307","434412405764.091","451932718764.387","469720618339.766","487343797679.386","503619406808.679","520878052195.13","550677647305.861","573788797293.568","601332257975.965","630953713062.689","608152619529.334",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6266778980.84084","6752483644.83647","7110637047.35056","7704008956.54848","8027497847.74483","8691280501.8499","9233132139.9759","9937195423.44491","10447084302.1134","11164002187.4058","12082144945.2969","13005648454.7123","13824774838.4711","14566421816.8017","15621198734.1148","16383743020.1581","17545233924.4818","19095081332.5382","20419698276.0852","21052570732.5208","21748137021.3122","22860459982.9645","24308499989.2082","26709146743.0221","29146860808.5474","30530995255.4114","32668486802.0226","34023063767.8647","37173273024.8113","40434633627.9884","42481128220.6326",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5194776255.17158","5857550290.7247","6004980400.78973","6360101197.4054","6581338077.9775","7103444925.38865","8030258957.33215","8690182135.43683","9430193718.02498","10273801310.7499","10701824788.6934","11659840501.0674","12359848400.9137","13571668356.7838","14561210412.9236","16315345253.9871","17860180506.1432","19093979820.3741","20594373474.422","21366020198.687","23440650603.1545","25515102554.621","26835475975.0516","28735314121.1823","29760893893.8537","31032905189.7743","35340335154.5367","39238401912.359","42834257969.6585","46078870838.4397","47516704838.4713",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87692342796.5208","93817522685.3109","101178098203.325","108456426994.827","115081618885.562","123511999678.265","131462096909.681","139820916424.046","148714667316.249","157907297582.569","169982625545.874","182530878334.241","192525389218.375","205395097099.782","221976241488.929","243850841826.997","267992112040.627","294615766788.069","318408634408.939","337022600321.165","359946756348.42","391220073587.411","443598789939.633","480218563286.77","520423230999.264","555570050290.634","608047366029.664","664403662063.264","733857377477.863","807854957463.322","845966482712.052",
